!konkombers	NSE konkombers
!konkomberse	NSM konkombers
!konkombersie	NSED konkombers
!konkombersies	NSMD konkombers
10e_Laan	NEE Tiende_Laan
adjunkaanklaer-generaal	NSE adjunk-aanklaer-generaal
adjunkaanklaers-generaal	NSM adjunk-aanklaer-generaal
adjunk-administrateur	NSE adjunkadministrateur
adjunk-administrateurs	NSM adjunkadministrateur
adjunk-bestuurshoof	NSE adjunkbestuurshoof
adjunk-bestuurshoofde	NSM adjunkbestuurshoof
adjunk-burgemeester	NSE adjunkburgemeester
adjunk-burgemeesters	NSM adjunkburgemeester
adjunk-dekaan	NSE adjunkdekaan
adjunk-dekane	NSM adjunkdekaan
adjunk-direkteur	NSE adjunkdirekteur
adjunk-direkteure	NSE adjunkdirekteur
adjunkdirekteure-generaal	NSE adjunk-direkteur-generaal
adjunkdirekteur-generaal	NSE adjunk-direkteur-generaal
adjunk-direkteurs	NSE adjunkdirekteur
adjunkdirekteurs-generaal	NSE adjunk-direkteur-generaal
adjunk-goewerneur	NSE adjunkgoewerneur
adjunk-goewerneurs	NSM adjunkgoewerneur
adjunk-hoof	NSE adjunkhoof
adjunk-hoofbeampte	NSE adjunkhoofbeampte
adjunk-hoofbeamptes	NSM adjunkhoofbeampte
adjunk-hoofde	NSM adjunkhoof
adjunk-hoofnavorser	NSE adjunkhoofnavorser
adjunk-hoofnavorsers	NSM adjunkhoofnavorser
adjunk-hoofregter	NSE adjunkhoofregter
adjunk-hoofregters	NSM adjunkhoofregter
adjunk-hoofstadsingenieur	NSE adjunkhoofstadsingenieur
adjunk-hoofstadsingenieurs	NSM adjunkhoofstadsingenieur
adjunkinspekteur-generaal	NSE adjunk-inspekteur-generaal
adjunkinspekteurs-generaal	NSM adjunk-inspekteur-generaal
adjunk-kommissaris	NSE adjunkkommissaris
adjunk-kommissarisse	NSM adjunkkommissaris
adjunk-landdros	NSE adjunklanddros
adjunk-landdroste	NSM adjunklanddros
adjunk-leier	NSE adjunkleier
adjunk-leiers	NSM adjunkleier
adjunk-minister	NSE adjunkminister
adjunk-ministers	NSM adjunkminister
adjunk-premier	NSE adjunkpremier
adjunk-premiers	NSM adjunkpremier
adjunk-president	NSE adjunkpresident
adjunk-presidente	NSM adjunkpresident
adjunk-redakteur	NSE adjunkredakteur
adjunk-redakteure	NSM adjunkredakteur
adjunk-redakteurs	NSM adjunkredakteur
adjunk-regterpresident	NSE adjunk-regter-president
adjunkregterpresidente	NSM adjunk-regter-president
adjunk-sekretaris	NSE adjunksekretaris
adjunksekretaris-generaal	NSE adjunk-sekretaris-generaal
adjunk-sekretarisse	NSM adjunksekretaris
adjunksekretarisse-generaal	NSM adjunk-sekretaris-generaal
adjunk-speaker	NSE adjunkspeaker
adjunk-speakers	NSM adjunkspeaker
adjunk-visekanselier	NSE adjunkvisekanselier
adjunk-visekanseliere	NSM adjunkvisekanselier
adjunk-visekanseliers	NSM adjunkvisekanselier
adjunk-voorsitter	NSE adjunkvoorsitter
adjunk-voorsitters	NSM adjunkvoorsitter
Adjutantweg	NEE Adjudantweg
adrenalineinspuiting	NSE adrenaline-inspuiting
adrenalineinspuitinge	NSM adrenaline-inspuiting
adrenalineinspuitings	NSM adrenaline-inspuiting
Adri_Faas-straat	NEE Adri_Faasstraat
advertensie-agentskap	NSE advertensieagentskap
advertensie-agentskappe	NSM advertensieagentskap
advertensie-owerhede	NSM advertensieowerheid
advertensie-owerheid	NSE advertensieowerheid
Advertensiestandaarde-owerheid	NEE Advertensiestandaardeowerheid
adviesbureau	NSE adviesburo
adviesbureaus	NSM adviesburo
Advocati_diaboli	NSM advocatus_diaboli
Advocatus_diaboli	NSE advocatus_diaboli
adwerbia	NSM adverbium
adwerbiaal	ASP adverbiaal	BS adverbiaal
adwerbiale	ASA adverbiaal
adwerbium	NSE adverbium
adwerbiums	NSM adverbium
Adzjarië	NEE Adjarië
Adzjariër	NEE Adjariër
Adzjariërs	NEM Adjariër
Adzjaries	ASP Adjaries
Adzjariese	ASA Adjaries
Aeolies	ASP Eolies	NEE Eolies
Aeoliese	ASA Eolies
Aeolus	NEE Eolus
aeolusharp	NSE eolusharp
aeolusharpe	NSM eolusharp
aerogel	NSE aërojel
Af_en_toe	BS af_en_toe
afdelingtitel	NSE afdelingstitel
afdelingtitels	NSM afdelingstitel
afdreig-kultuur	NSE afdreigkultuur
afentoe	BS af_en_toe
Afentoe	BS af_en_toe
Afghaan	NEE Afgaan
afghaan	NSE afgaan	VTHOG afgaan
Afghaans	ASP Afgaans	NEE Afgaans
Afghaanse	ASA Afgaans
Afghane	NEM Afgaan
afghane	NSM afgaan
Afghanistan	NEE Afganistan
af-kwark	NSE afkwark
af-kwarke	NSM afkwark
Afrika_Kanker-Instituut	NEE Afrika-kankerinstituut
Afrikaans-eksamen	NSE Afrikaanseksamen
Afrikaans-eksamens	NSM Afrikaanseksamen
Afrikaans-kollokwium	NSE Afrikaanskollokwium
Afrikaans-kurrikulum	NSE Afrikaanskurrikulum
Afrikaans-kursus	NSE Afrikaanskursus
Afrikaans-kursusse	NSM Afrikaanskursus
Afrikaans-leerder	NSE Afrikaansleerder
Afrikaans-leerders	NSM Afrikaansleerder
Afrikaansmedium-kollege	NSE Afrikaansmediumkollege
Afrikaansmedium-kolleges	NSM Afrikaansmediumkollege
Afrikaans-olimpiade	NSE Afrikaansolimpiade
Afrikaans-Olimpiade	NSE Afrikaansolimpiade
Afrikaans-olimpiades	NSM Afrikaansolimpiade
Afrikaans-Olimpiades	NSM Afrikaansolimpiade
Afrikaans-onderrig	NSE Afrikaansonderrig
Afrikaans-onderwyser	NSE Afrikaansonderwyser
Afrikaans-onderwyseres	NSE Afrikaansonderwyseres
Afrikaans-onderwyseresse	NSM Afrikaansonderwyseres
Afrikaans-onderwysers	NSM Afrikaansonderwyser
Afrikaans-opgelei	ASP Afrikaansopgelei
Afrikaans-opgeleid	ASP Afrikaansopgeleid
Afrikaans-opgeleide	ASA Afrikaansopgelei
Afrikaans-vraestel	NSE Afrikaansvraestel
Afrikaans-vraestelle	NSM Afrikaansvraestel
Afrikaans-weergawe	NSE Afrikaansweergawe
AfriKaaps	NEE Afrikaaps
Afrika-beker	NSE Afrikabeker
Afrikabeker-ondervinding	NSE Afrikabekerondervinding
Afrikabeker-sokkerstryd	NSE Afrikabekersokkerstryd
Afrikabeker-sokkertoernooi	NSE Afrikabekersokkertoernooi
Afrikabeker-toernooi	NSE Afrikabekertoernooi
Afrikabeker-wedstryd	NSE Afrikabekerwedstryd
Afrikabeker-wedstryde	NSM Afrikabekerwedstryd
Afrika-besoek	NSE Afrikabesoek
Afrika-bevryding	NSE Afrikabevryding
Afrika-filosofie	NSE Afrikafilosofie
Afrika-gebaseer	ASP Afrikagebaseer
Afrika-gebaseerd	ASP Afrikagebaseerd
Afrika-gebaseerde	ASA Afrikagebaseer(d)
Afrika-gebied	NSE Afrikagebied
Afrika-gebiede	NSM Afrikagebied
Afrika-gewoontereg	NSE Afrikagewoontereg
Afrika-godsdiens	NSE Afrikagodsdiens
Afrika-godsdienste	NSM Afrikagodsdiens
Afrika-houtkapper	NSE Afrikahoutkapper
Afrika-houtkappers	NSM Afrikahoutkapper
Afrika-jeugkampioenskap	NSE Afrikajeugkampioenskap
Afrika-jeugkampioenskappe	NSM Afrikajeugkampioenskap
Afrika-kampioen	NSE Afrikakampioen
Afrika-kampioene	NSM Afrikakampioen
Afrika-kampioenskap	NSE Afrikakampioenskap
Afrika-kampioenskappe	NSM Afrikakampioenskap
Afrika-karakter	NSE Afrikakarakter
Afrika-konteks	NSE Afrikakonteks
Afrika-kontekste	NSM Afrikakonteks
Afrika-kontinent	NEE Afrikakontinent
Afrika-kulture	NSM Afrikakultuur
Afrika-kultuur	NSE Afrikakultuur
Afrika-land	NSE Afrikaland
Afrika-lande	NSM Afrikaland
Afrika-landskap	NSE Afrikalandskap
Afrika-landskappe	NSM Afrikalandskap
Afrika-lede	NSM Afrikalid
Afrika-leier	NSE Afrikaleier
Afrika-leiers	NSM Afrikaleier
Afrika-leierskap	NSE Afrikaleierskap
Afrika-lepelaar	NSE Afrikalepelaar
Afrika-lepelaars	NSM Afrikalepelaar
Afrika-lid	NSE Afrikalid
Afrika-literatuur	NSE Afrikaliteratuur
Afrika-mark	NSE Afrikamark
Afrika-motief	NSE Afrikamotief
Afrika-motiewe	NSM Afrikamotief
Afrikana	NVE Africana
Afrikanamusea	NSM Africanamuseum
Afrikanamuseum	NSE Africanamuseum
Afrikanamuseums	NSM Africanamuseum
Afrika-nasie	NSE Afrikanasie
Afrika-nasies	NSM Afrikanasie
Afrikanaversamelaar	NSE Africanaversamelaar
Afrikanaversamelaars	NSM Africanaversamelaar
Afrikaner_Broederbond	NEE Afrikaner-Broederbond
Afrikaner-bul	NSE Afrikanerbul
Afrikaner-bulle	NSM Afrikanerbul
Afrikaner-establishment	NSE Afrikanerestablishment
Afrikaner-geledere	NSM Afrikanergeledere
Afrikaner-monument	NSE Afrikanermonument
Afrikaner-monumente	NSM Afrikanermonument
Afrikaner-nasionalisme	NSE Afrikanernasionalisme
Afrikaner-organisasie	NSE Afrikanerorganisasie
Afrikaner-organisasies	NSM Afrikanerorganisasie
Afrikaner-selfbeskikking	NSE Afrikanerselfbeskikking
Afrika-olifant	NSE Afrikaolifant
Afrika-olifantbevolking	NSE Afrikaolifantbevolking
Afrika-olifantbevolkinge	NSM Afrikaolifantbevolking
Afrika-olifantbevolkings	NSM Afrikaolifantbevolking
Afrika-olifante	NSM Afrikaolifant
Afrika-ontwikkelingsbank	NEE Afrikaontwikkelingsbank
Afrika-padkampioen	NSE Afrikapadkampioen
Afrika-padkampioene	NSM Afrikapadkampioen
Afrika-perspektief	NSE Afrikaperspektief
Afrika-pikkewyn	NSE Afrikapikkewyn
Afrika-pikkewyne	NSM Afrikapikkewyn
Afrika-pluimbalkampioenskap	NSE Afrikapluimbalkampioenskap
Afrika-pluimbalkampioenskappe	NSM Afrikapluimbalkampioenskap
Afrika-ranglys	NSE Afrikaranglys
Afrika-reis	NSE Afrikareis
Afrika-renaissance	NSE Afrikarenaissance
Afrika-rotsluislang	NSE Afrikarotsluislang
Afrika-rotsluislange	NSM Afrikarotsluislang
Afrika-samelewing	NSE Afrikasamelewing
Afrika-samelewings	NSM Afrikasamelewing
Afrika-skild	NEE Afrikaskild
Afrika-son	NSE Afrikason
Afrika-sosialisme	NSE Afrikasosialisme
Afrika-staatshoof	NSE Afrikastaatshoof
Afrika-staatshoofde	NSM Afrikastaatshoof
Afrika-stad	NSE Afrikastad
Afrika-stede	NSM Afrikastad
Afrika-taal	NSE Afrikataal
Afrika-tale	NSM Afrikataal
Afrika-teater	NSE Afrikateater
Afrika-titel	NSE Afrikatitel
Afrika-titels	NSM Afrikatitel
Afrika-varkpes	NSE Afrikavarkpes
Afrika-vasteland	NSE Afrikavasteland
Afrika-verband	NSE Afrikaverband
Afrika-verlede	NSE Afrikaverlede
Afrika-volk	NSE Afrikavolk
Afrika-volke	NSM Afrikavolk
Afrika-vredesmag	NSE Afrikavredesmag
Afrika-vryehandelsooreenkoms	NEE Afrikavryehandelsooreenkoms
Afrika-woudolifant	NSE Afrikawoudolifant
Afrika-woudolifante	NSM Afrikawoudolifant
Afripop-groep	NSE afripopgroep
Afripop-groepe	NSM afripopgroep
Afripop-sanger	NSE afripopsanger
Afripop-sangeres	NSE afripopsangeres
Afripop-sangeresse	NSM afripopsangeres
Afripop-sangers	NSM afripopsanger
Afropop-groep	NSE afropopgroep
Afropop-groepe	NSM afropopgroep
Afropop-sanger	NSE afropopsanger
Afropop-sangeres	NSE afropopsangeres
Afropop-sangeresse	NSM afropopsangeres
Afropop-sangers	NSM afropopsanger
afskrik-argument	NSE afskrikargument
afsny-ouderdom	NSE afsnyouderdom
aftree-annuïteit	NSE aftreeannuïteit
aftree-annuïteite	NSM aftreeannuïteit
aftree-oord	NSE aftreeoord
aftree-oorde	NSM aftreeoord
aftrek-kieslys	NSE aftrekkieslys
aftrek-kieslyste	NSM aftrekkieslys
agave	NSE agawe
agaveplant	NSE agaweplant
agaveplante	NSM agaweplant
agaves	NSM agawe
AGDA	NEE Agda
Agent_provocateur	NSE agent_provocateur
Agents_provocateurs	NSM agent_provocateur
agitprop-musikant	NSE agitpropmusikant
agitprop-musikante	NSM agitpropmusikant
agnus_dei	NEE Agnus_Dei
agnus_Dei	NEE Agnus_Dei
Agnus_dei	NEE Agnus_Dei
a-godsdienstig	ASP agodsdienstig
a-godsdienstige	ASA agodsdienstig
AGRA	NEE Agra
agro-ekologies	ASP agroëkologies
agro-ekologiese	ASA agroëkologies
agro-ekonomies	ASP agroëkonomies
agro-ekonomiese	ASA agroëkonomies
agro-toerisme	NSE agrotoerisme
Agro-toerisme	NSE agrotoerisme
Agstelaan	NEE Agste_Laan
Agterpommere	NEE Agter-Pommere
Agtstelaan	NEE Agtste_Laan
Ahmed_Kathadra-straat	NEE Ahmed_Kathadrastraat
Ahura_Mazda	NEE Ahoera_Mazda
Aide_de_camp	NSE aide_de_camp
Aide_de_camps	NSM aide_de_camp
AK47	NSE AK-47
AK47-aanvalsgeweer	NSE AK-47-aanvalsgeweer
AK47-aanvalsgewere	NSM AK-47-aanvalsgeweer
AK47's	NSM AK-47
akhni	NSE akni
akkerwani	NSE akkerwanie
akkommodasie-besprekingswebblaaie	NSM akkommodasiebesprekingswebblad
akkommodasie-besprekingswebblad	NSE akkommodasiebesprekingswebblad
akoesto-opties	ASP akoestoöpties
akoesto-optiese	ASA akoestoöpties
aksiaal-simmetries	ASP aksiaalsimmetries
aksiaal-simmetriese	ASA aksiaalsimmetries
aksie-kortfliek	NSE aksiekortfliek
aksie-kortflieks	NSM aksiekortfliek
akuut-aksent	NSE akuutaksent
akuut-aksente	NSM akuutaksent
akwa-aërobies	ASP akwaäërobies
akwa-aërobiese	ASA akwaäërobies
akwakultuur-bestuurstelsel	NSE akwakultuurbestuurstelsel
akwakultuur-bestuurstelsels	NSM akwakultuurbestuurstelsel
Akwarius-konstellasie	NEE Akwariuskonstellasie
Al_fresco	BS al_fresco
Al_hawerklaps	BS al_hawerklaps
al_Kaeda	NEE Al_Kaïda
Al_Kaeda	NEE Al_Kaïda
al_Kaida	NEE Al_Kaïda
Al_Kaida	NEE Al_Kaïda
al_Kaïda	NEE Al_Kaïda
al_Qaeda	NEE Al_Kaïda
Al_Qaeda	NEE Al_Kaïda
alarm-monitering	NSE alarmmonitering
Albert_Hertzog-toring	NEE Albert_Hertzogtoring
Albert_Luthuli-plein	NEE Albert_Luthuliplein
Albert_Luthuli-rylaan	NEE Albert_Luthulirylaan
Albert_Luthuli-weg	NEE Albert_Luthuliweg
Albertina_Sisulu-weg	NEE Albertina_Sisuluweg
Albert-waterval	NEE Albertwaterval
Alexa_Keerweg	NEE Alexakeerweg
Alexa-keerweg	NEE Alexakeerweg
Alexandrië	NEE Aleksandrië
Alexandryn	NEE Aleksandryn
alexandryn	NSE aleksandryn
Alexandryne	NEM Aleksandryn
alexandryne	NSM aleksandryn
Alexandryns	ASP Aleksandryns
Alexandrynse	ASA Aleksandryns
Alfa-generasie	NEE Alfagenerasie
algemeen-beskaaf	ASP Algemeenbeskaaf	NEE Algemeenbeskaaf
algemeen-beskaafd	ASP Algemeenbeskaafd	NEE Algemeenbeskaafd
algemeen-beskaafde	ASA Algemeenbeskaaf
algemeen-menslik	ASP algemeenmenslik
algemeen-menslike	ASA algemeenmenslik
Algol-veranderlike	NSE Algolveranderlike
Algol-veranderlikes	NSM Algolveranderlike
Algonquiaans	ASP Algonkwiaans
Algonquiaanse	ASA Algonkwiaans
algoritme-ontwerp	NSE algoritmeontwerp
Aliwal-bank	NEE Aliwalbank
Aliwal-sandbank	NEE Aliwalsandbank
al-Kaeda	NEE Al_Kaïda
Al-Kaeda	NEE Al_Kaïda
al-Kaida	NEE Al_Kaïda
Al-Kaida	NEE Al_Kaïda
al-Kaïda	NEE Al_Kaïda
Al-Kaïda	NEE Al_Kaïda
alkohol-afhanklik	ASP alkoholafhanklik
alkohol-afhanklike	ASA alkoholafhanklik
alkohol-gebaseer	ASP alkoholgebaseer
alkohol-gebaseerd	ASP alkoholgebaseerd
alkohol-gebaseerde	ASA alkoholgebaseer(d)
alkohol-limiet	NSE alkohollimiet
alkohol-limiete	NSM alkohollimiet
alleen-ouerskap	NSE alleenouerskap
Alliance_francaise	NEE Alliance_française
Alliance_Francaise	NEE Alliance_française
Alliance_Française	NEE Alliance_française
allochtone	ASA allogtoon
allochtoon	ASP allogtoon
allokasie-analise	NSE allokasieanalise
Alma_mater	NSE alma_mater
aloejel	NSE aloëjel
aloesap	NSE aloësap
al-Qaeda	NEE Al_Kaïda
Al-Qaeda	NEE Al_Kaïda
Alter_ego	NSE alter_ego
aluminium-nywerheid	NSE aluminiumnywerheid
aluminium-smelter	NSE aluminiumsmelter
aluminium-smelters	NSM aluminiumsmelter
alweolaar	NSE alveolaar
alweolare	NSM alveolaar
alweole	NSM alveool
alweolêr	ASP alveolêr
alweolêre	ASA alveolêr
alweool	NSE alveool
Alwyn_Taljaard-laan	NEE Alwyn_Taljaardlaan
Amabokoboko	NEE Amabokhobokho
Amahlubi	NEM amaHlubi
amaleita	NSE amalaita
amaleitas	NSM amalaita
Amalfi-kus	NEE Amalfikus
Amalienstein	NEE Amaliënstein
Amasone-gebied	NEE Amasonegebied
Amasone-lamantyn	NSE amasonelamantyn
Amasone-lamantyne	NSM amasonelamantyn
Amathole-museum	NEE Amatholemuseum
Amatikulu	NEE aMatikulu
ambassade-personeel	NSE ambassadepersoneel
amfetamien-psigose	NSE amfetamienpsigose
amfetamine-psigose	NSE amfetaminepsigose
Amici_curiae	NSM amicus_curiae
Amicus_curiae	NSE amicus_curiae
amigurumi-pop	NSE amigurumipop
amigurumi-poppe	NSM amigurumipop
ammunisie-opslagplek	NSE ammunisieopslagplek
ammunisie-opslagplekke	NSM ammunisieopslagplek
amnestie-tydperk	NSE amnestietydperk
anakronisme	NSE anachronisme
anakronismes	NSM anachronisme
anakronisties	ASP anachronisties
anakronistiese	ASA anachronisties
Anaksimenes	NEE Anaximenes
analise-operasie	NSE analiseoperasie
analise-operasies	NSM analiseoperasie
anargo-kapitalis	NSE anargokapitalis
anargo-kapitalisme	NSE anargokapitalisme
anargo-kapitaliste	NSM anargokapitalis
anargo-kommunis	NSE anargokommunis
anargo-kommunisme	NSE anargokommunisme
anargo-kommuniste	NSM anargokommunis
anargo-sindikalisme	NSE anargosindikalisme
anargo-sosialis	NSE anargososialis
anargo-sosialisme	NSE anargososialisme
anargo-sosialiste	NSM anargososialis
anatomie-departement	NSE anatomiedepartement
anatomie-departemente	NSM anatomiedepartement
Andaman-see	NEE Andamansee
Andes-gebergte	NEE Andesgebergte
Andimba_Toivo_ya_Toivo-straat	NEE Andimba_Toivo_ya_Toivostraat
Andimba_Toivo-ya-Toivostraat	NEE Andimba_Toivo_ya_Toivostraat
Andimba_Toivo-ya-Toivo-straat	NEE Andimba_Toivo_ya_Toivostraat
Andries_Potgieter-boulevard	NEE Andries_Potgieterboulevard
Andries_Pretorius-straat	NEE Andries_Pretoriusstraat
Android-bedryfstelsel	NSE Androidbedryfstelsel
Android-fone	NSM Androidfoon
Android-foon	NSE Androidfoon
Android-toestel	NSE Androidtoestel
Android-toestelle	NSM Androidtoestel
Andromeda-sterrestelsel	NEE Andromedasterrestelsel
Angelique_Keerweg	NEE Angeliquekeerweg
Angelique-keerweg	NEE Angeliquekeerweg
Angelsakser	NEE Angel-Sakser
Angelsaksers	NEM Angel-Sakser
Angelsaksies	ASP Angel-Saksies	NEE Angel-Saksies
Angelsaksiese	ASA Angel-Saksies
Angina_pectoris	NSE angina_pectoris
Anglo-American	NEE Anglo_American
Angola-grens	NSE Angolagrens
Angra_Pequenabaai	NEE Angra_Pequeñabaai
angsiolise	NSE anksiolise
angsiolities	ASP anksiolities
angsiolitiese	ASA anksiolities
angstrom	NSE ångström
angström	NSE ångström
angstroms	NSM ångström
angströms	NSM ångström
Ångströms	NSM ångström
animasie-kortfliek	NSE animasiekortfliek
animasie-kortflieks	NSM animasiekortfliek
Annan-rylaan	NEE Annanrylaan
annerjanstorie	NSE anderjanstorie
annerjanstories	NSM anderjanstorie
Annie_Benjamin-straat	NEE Annie_Benjaminstraat
anno_christi	BS anno_Christi
Anno_christi	BS anno_Christi
Anno_Christi	BS anno_Christi
Anno_digitali	BS anno_digitali
Anno_Digitali	BS anno_digitali
anno_domini	BS anno_Domini
Anno_domini	BS anno_Domini
Anno_Domini	BS anno_Domini
Annus_horribilis	NSE annus_horribilis
Anorexia_nervosa	NSE anorexia_nervosa
Ante_Christum	BS ante_Christum
Anthea_Keerweg	NEE Antheakeerweg
Anthea-keerweg	NEE Antheakeerweg
anti-aborsiebeweging	NSE antiaborsiebeweging
anti-alles	ASP antialles
anti-apartheidsbedrywighede	NSM antiapartheidsbedrywigheid
anti-apartheidsbedrywigheid	NSE antiapartheidsbedrywigheid
anti-apartheid-sentiment	NSE antiapartheidsentiment
anti-apartheid-sentimente	NSM antiapartheidsentiment
anti-apartheidsprotes	NSE antiapartheidsprotes
anti-apartheidsproteste	NSM antiapartheidsprotes
anti-apartheidspublikasie	NSE antiapartheidspublikasie
anti-apartheidspublikasies	NSM antiapartheidspublikasie
anti-apartheidstryd	NSE antiapartheidstryd
anti-apartheidstryde	NSM antiapartheidstryd
anti-apartheidsveldtog	NSE antiapartheidsveldtog
anti-apartheidsveldtogte	NSM antiapartheidsveldtog
anti-christelik	ASP antichristelik
anti-Christelik	ASP antichristelik
anti-christelike	ASA antichristelik
anti-Christelike	ASA antichristelik
anti-demokraties	ASP antidemokraties
anti-demokratiese	ASA antidemokraties
Antifa-ondersteuner	NSE Antifaondersteuner
Antifa-ondersteuners	NSM Antifaondersteuner
anti-gnostisisme	NSE antignostisisme
anti-godsdienstig	ASP antigodsdienstig
anti-godsdienstige	ASA antigodsdienstig
anti-immigrasieparty	NSE antiimmigrasieparty
anti-immigrasiepartye	NSM antiimmigrasieparty
anti-imperialisme	NSE antiimperialisme
anti-inflammatories	ASP antiinflammatories
anti-inflammatoriese	ASA antiinflammatories
anti-intellektueel	ASP antiintellektueel
anti-intellektuele	ASA antiintellektueel
anti-kerklik	ASP antikerklik
anti-kerklike	ASA antikerklik
anti-kolonialisme	NSE antikolonialisme
anti-kolonialisties	ASP antikolonialisties
anti-kolonialistiese	ASA antikolonialisties
anti-konvensionalisme	NSE antikonvensionalisme
anti-korrupsie-strategie	NSE antikorrupsiestrategie
anti-korrupsie-wetgewing	NSE antikorrupsiewetgewing
anti-nasionaal	ASP antinasionaal	BS antinasionaal
anti-nasionale	ASA antinasionaal
anti-natalis	NSE antinatalis
anti-natalisme	NSE antinatalisme
anti-nataliste	NSM antinatalis
Antiogeens	ASP Antiocheens
Antiogeense	ASA Antiocheens
Antiogener	NEE Antiochener
